articles,total_hits
"{'headline': 'Washington Post C.E.O. Will Lewis Steps Down After Stormy Tenure', 'snippet': 'His departure came days after the company cut 30 percent of the staff. He will be replaced in the interim by Jeff D’Onofrio, the chief financial officer, the company said.', 'web_url': 'https://www.nytimes.com/2026/02/07/technology/washington-post-will-lewis.html', 'pub_date': '2026-02-07T22:54:46Z'}",0
"{'headline': 'Feeling ‘Amateur’ at Retirement Planning, They Asked A.I. for Help', 'snippet': 'More people are turning to chatbots for advice, inquiring about high-stakes decisions such as saving for retirement — even if they eventually turn to a human.', 'web_url': 'https://www.nytimes.com/2026/02/08/business/retirement-planning-ai-chatbots.html', 'pub_date': '2026-02-08T10:00:06Z'}",0
"{'headline': 'Mexico Killed ‘El Mencho.’ What’s Next for the Drug Cartel He Led?', 'snippet': 'The death of Nemesio Oseguera Cervantes dealt a major blow to the Jalisco New Generation Cartel, but few believe it spells the end for the powerful group.', 'web_url': 'https://www.nytimes.com/2026/02/23/world/americas/el-mencho-killed-mexico-cartel.html', 'pub_date': '2026-02-23T09:59:39Z'}",0
"{'headline': 'Ex-C.E.O. Says Epstein ‘Conned’ Him, but Democrats Are Skeptical', 'snippet': 'House Republicans skipped a deposition with Leslie Wexner, the retail billionaire, and Democrats said his answers were not credible.', 'web_url': 'https://www.nytimes.com/2026/02/18/us/politics/wexner-epstein-deposition.html', 'pub_date': '2026-02-18T20:16:26Z'}",0
"{'headline': 'More Epstein Fallout for Goldman, and Beyond', 'snippet': 'The Wall Street giant’s top lawyer, whose ties to Jeffrey Epstein had raised questions at the firm, has resigned. Other corporate leaders are also facing blowback.', 'web_url': 'https://www.nytimes.com/2026/02/13/business/dealbook/epstein-ruemmler-goldman-sachs.html', 'pub_date': '2026-02-13T13:11:56Z'}",0
"{'headline': 'Epstein Built Ties to U.S. Customs Officers, Prompting Criminal Investigation', 'snippet': 'Jeffrey Epstein cultivated friendly relationships with several customs officers in the U.S. Virgin Islands, offering food, advice and even musical gigs.', 'web_url': 'https://www.nytimes.com/2026/02/19/us/epstein-customs-officers-usvi.html', 'pub_date': '2026-02-19T19:22:05Z'}",0
"{'headline': 'Israeli Army Reservists Are Suspected of Using Inside Knowledge to Bet', 'snippet': 'The authorities said several reservists and a civilian were arrested, and two were charged, after an investigation into the use of classified information to bet on military operations.', 'web_url': 'https://www.nytimes.com/2026/02/12/world/middleeast/israel-army-reservists-classified-information-bets.html', 'pub_date': '2026-02-12T20:32:06Z'}",0
"{'headline': 'For CNN, a Change in Ownership Means a Suddenly Uncertain Future', 'snippet': 'Paramount’s apparent victory over Netflix in securing Warner Bros. Discovery has led to concerns within the CNN newsroom about editorial independence.', 'web_url': 'https://www.nytimes.com/2026/02/27/business/media/cnn-paramount-david-ellison.html', 'pub_date': '2026-02-27T10:04:31Z'}",0
"{'headline': 'Trump’s Remake of the Kennedy Center', 'snippet': 'Readers object to President Trump’s plan to close the Kennedy Center for a two-year reconstruction project. Also: U.N. financial trouble; an ominous signoff.', 'web_url': 'https://www.nytimes.com/2026/02/02/opinion/trump-kennedy-center.html', 'pub_date': '2026-02-02T18:12:22Z'}",0
"{'headline': 'The Finance Industry Is a Grift. Let’s Start Treating It That Way.', 'snippet': 'Regulating the industry is useful. Shaming it is crucial.', 'web_url': 'https://www.nytimes.com/2026/02/06/opinion/capitalism-industry-financialization.html', 'pub_date': '2026-02-06T10:02:38Z'}",0
